id,title,text,source,label,label_name
1,The weather department issued an advisory about heavy rainfall in seve...,The weather department issued an advisory about heavy rainfall in several districts.,Government,1,REAL
2,An unverified message claims that schools will receive free luxury car...,An unverified message claims that schools will receive free luxury cars for students.,Unknown Blog,0,FAKE
3,The university released the examination timetable for the upcoming sem...,The university released the examination timetable for the upcoming semester.,University,1,REAL
4,Government secretly announces that all exams will be cancelled forever...,Government secretly announces that all exams will be cancelled forever.,Social Media,0,FAKE
5,The district administration opened a new public service center.,The district administration opened a new public service center.,Research Organization,1,REAL
6,Breaking news: Scientists confirm that drinking only lemon water can c...,Breaking news: Scientists confirm that drinking only lemon water can cure every disease.,Social Media,0,FAKE
7,The weather department issued an advisory about heavy rainfall in seve...,The weather department issued an advisory about heavy rainfall in several districts.,University,1,REAL
8,Social media users say every mobile phone will stop working next week.,Social media users say every mobile phone will stop working next week.,Social Media,0,FAKE
9,Scientists published a study examining changes in local air quality.,Scientists published a study examining changes in local air quality.,University,1,REAL
10,A misleading message says that ordinary tap water has been officially ...,A misleading message says that ordinary tap water has been officially declared dangerous everywhere.,Unverified Website,0,FAKE
11,The university released the examination timetable for the upcoming sem...,The university released the examination timetable for the upcoming semester.,Research Organization,1,REAL
12,A fake report claims that a new law will ban students from using books...,A fake report claims that a new law will ban students from using books.,Forwarded Message,0,FAKE
13,The education department announced new scholarship guidelines for stud...,The education department announced new scholarship guidelines for students.,University,1,REAL
14,A fabricated report claims that one food can instantly increase human ...,A fabricated report claims that one food can instantly increase human intelligence.,Forwarded Message,0,FAKE
15,The health department published updated vaccination information on its...,The health department published updated vaccination information on its website.,University,1,REAL
16,Social media users say every mobile phone will stop working next week.,Social media users say every mobile phone will stop working next week.,Forwarded Message,0,FAKE
17,The weather department issued an advisory about heavy rainfall in seve...,The weather department issued an advisory about heavy rainfall in several districts.,Government,1,REAL
18,A fabricated report claims that one food can instantly increase human ...,A fabricated report claims that one food can instantly increase human intelligence.,Social Media,0,FAKE
19,The government announced a new initiative to improve rural internet co...,The government announced a new initiative to improve rural internet connectivity.,News Agency,1,REAL
20,A fake report claims that a new law will ban students from using books...,A fake report claims that a new law will ban students from using books.,Forwarded Message,0,FAKE
21,The education department announced new scholarship guidelines for stud...,The education department announced new scholarship guidelines for students.,Research Organization,1,REAL
22,A misleading message says that ordinary tap water has been officially ...,A misleading message says that ordinary tap water has been officially declared dangerous everywhere.,Social Media,0,FAKE
23,The central bank released its latest economic report on inflation and ...,The central bank released its latest economic report on inflation and growth.,Government,1,REAL
24,A misleading message says that ordinary tap water has been officially ...,A misleading message says that ordinary tap water has been officially declared dangerous everywhere.,Forwarded Message,0,FAKE
25,The district administration opened a new public service center.,The district administration opened a new public service center.,News Agency,1,REAL
26,A fake report claims that a new law will ban students from using books...,A fake report claims that a new law will ban students from using books.,Unknown Blog,0,FAKE
